,classifier,filename,accuracy
63,KNeighborsClassifier,dataset/transform/cols_permutation/random/Lung_Cancer.csv,0.7777777777777778
64,KNeighborsClassifier,dataset/transform/cols_permutation/random/Voice_Rehabilitation.csv,0.7857142857142857
65,KNeighborsClassifier,dataset/transform/cols_permutation/random/Breast_Cancer.csv,0.8023426061493412
66,DecisionTreeClassifier,dataset/transform/cols_permutation/random/SE_Process.csv,1.0
67,DecisionTreeClassifier,dataset/transform/cols_permutation/random/Immuno_Therapy.csv,1.0
68,DecisionTreeClassifier,dataset/transform/cols_permutation/random/German_Credit.csv,1.0
69,DecisionTreeClassifier,dataset/transform/cols_permutation/random/Lung_Cancer.csv,1.0
70,DecisionTreeClassifier,dataset/transform/cols_permutation/random/Voice_Rehabilitation.csv,1.0
71,DecisionTreeClassifier,dataset/transform/cols_permutation/random/Breast_Cancer.csv,1.0
72,GaussianNB,dataset/transform/cols_permutation/random/SE_Process.csv,0.7301387137452712
73,GaussianNB,dataset/transform/cols_permutation/random/Immuno_Therapy.csv,0.8888888888888888
74,GaussianNB,dataset/transform/cols_permutation/random/German_Credit.csv,0.742
75,GaussianNB,dataset/transform/cols_permutation/random/Lung_Cancer.csv,0.8888888888888888
76,GaussianNB,dataset/transform/cols_permutation/random/Voice_Rehabilitation.csv,0.4523809523809524
77,GaussianNB,dataset/transform/cols_permutation/random/Breast_Cancer.csv,0.8843338213762811
78,RandomForestClassifier,dataset/transform/cols_permutation/random/SE_Process.csv,0.9974779319041615
79,RandomForestClassifier,dataset/transform/cols_permutation/random/Immuno_Therapy.csv,0.9888888888888889
80,RandomForestClassifier,dataset/transform/cols_permutation/random/German_Credit.csv,0.981
81,RandomForestClassifier,dataset/transform/cols_permutation/random/Lung_Cancer.csv,1.0
82,RandomForestClassifier,dataset/transform/cols_permutation/random/Voice_Rehabilitation.csv,1.0
83,RandomForestClassifier,dataset/transform/cols_permutation/random/Breast_Cancer.csv,0.9985358711566618
84,AdaBoostClassifier,dataset/transform/cols_permutation/random/SE_Process.csv,0.9646910466582598
85,AdaBoostClassifier,dataset/transform/cols_permutation/random/Immuno_Therapy.csv,1.0
86,AdaBoostClassifier,dataset/transform/cols_permutation/random/German_Credit.csv,0.809
87,AdaBoostClassifier,dataset/transform/cols_permutation/random/Lung_Cancer.csv,0.7777777777777778
88,AdaBoostClassifier,dataset/transform/cols_permutation/random/Voice_Rehabilitation.csv,1.0
89,AdaBoostClassifier,dataset/transform/cols_permutation/random/Breast_Cancer.csv,1.0
90,KNeighborsClassifier,dataset/transform/cols_permutation/reversing/SE_Process.csv,0.8902900378310215
91,KNeighborsClassifier,dataset/transform/cols_permutation/reversing/Immuno_Therapy.csv,0.8222222222222222
92,KNeighborsClassifier,dataset/transform/cols_permutation/reversing/German_Credit.csv,0.83
93,KNeighborsClassifier,dataset/transform/cols_permutation/reversing/Lung_Cancer.csv,0.7777777777777778
94,KNeighborsClassifier,dataset/transform/cols_permutation/reversing/Voice_Rehabilitation.csv,0.7857142857142857
95,KNeighborsClassifier,dataset/transform/cols_permutation/reversing/Breast_Cancer.csv,0.8023426061493412
96,DecisionTreeClassifier,dataset/transform/cols_permutation/reversing/SE_Process.csv,1.0
97,DecisionTreeClassifier,dataset/transform/cols_permutation/reversing/Immuno_Therapy.csv,1.0
98,DecisionTreeClassifier,dataset/transform/cols_permutation/reversing/German_Credit.csv,1.0
99,DecisionTreeClassifier,dataset/transform/cols_permutation/reversing/Lung_Cancer.csv,1.0
100,DecisionTreeClassifier,dataset/transform/cols_permutation/reversing/Voice_Rehabilitation.csv,1.0
101,DecisionTreeClassifier,dataset/transform/cols_permutation/reversing/Breast_Cancer.csv,1.0
102,GaussianNB,dataset/transform/cols_permutation/reversing/SE_Process.csv,0.7301387137452712
103,GaussianNB,dataset/transform/cols_permutation/reversing/Immuno_Therapy.csv,0.8888888888888888
104,GaussianNB,dataset/transform/cols_permutation/reversing/German_Credit.csv,0.742
105,GaussianNB,dataset/transform/cols_permutation/reversing/Lung_Cancer.csv,0.8888888888888888
106,GaussianNB,dataset/transform/cols_permutation/reversing/Voice_Rehabilitation.csv,0.4523809523809524
107,GaussianNB,dataset/transform/cols_permutation/reversing/Breast_Cancer.csv,0.8843338213762811
108,RandomForestClassifier,dataset/transform/cols_permutation/reversing/SE_Process.csv,0.9974779319041615
109,RandomForestClassifier,dataset/transform/cols_permutation/reversing/Immuno_Therapy.csv,1.0
110,RandomForestClassifier,dataset/transform/cols_permutation/reversing/German_Credit.csv,0.981
111,RandomForestClassifier,dataset/transform/cols_permutation/reversing/Lung_Cancer.csv,1.0
112,RandomForestClassifier,dataset/transform/cols_permutation/reversing/Voice_Rehabilitation.csv,1.0
